Unique_ID,Strain,CopyNumber
U15,346BT,279
U15,348BT,295
U15,349BT,152
U15,378BT,111
U15,40AT,245
U15,40BT,209
U15,45BT,137
U15,48BT,156
U15,57AT,146
U15,85BT,101
U15,93AT,289
U15,95BT,143
U15,LOGRA,117
U15,MBA,349
U15,AnTat-11-17,203
U15,Frala,220
U15,INRB-2009-56A-15BT,128
U15,KOLO,194
U15,Mongo,139
U15,NTUMA,307
U16,104AT,121
U16,104BT,143
U16,105BT,267
U16,108AT,317
U16,108BT,316
U16,113AT,103
U16,113BT,129
U16,141BT,116
U16,15BT-relapse,231
U16,167BT,122
U16,174BT,111
U16,19BT,137
U16,223AT,169
U16,340AT,144
U16,346AT-relapse,207
U16,346BT,295
U16,348BT,302
U16,349BT,164
U16,378BT,118
U16,40AT,235
U16,40BT,174
U16,45BT,140
U16,48BT,134
U16,57AT,144
U16,93AT,261
U16,95BT,158
U16,LOGRA,146
U16,MBA,339
U16,AnTat-11-17,189
U16,Frala,188
U16,INRB-2009-56A-15BT,127
U16,KOLO,182
U16,NTUMA,301
U17,104AT,128
U17,104BT,131
U17,105BT,273
U17,108AT,321
U17,108BT,346
U17,113AT,111
U17,113BT,118
U17,141BT,111
U17,148BT,107
U17,15BT-relapse,239
U17,167AT,101
U17,167BT,123
U17,174BT,155
U17,19BT,147
U17,223AT,158
U17,340AT,147
U17,346AT-relapse,205
U17,346BT,291
U17,348BT,289
U17,349BT,138
U17,378BT,126
U17,40AT,214
U17,40BT,168
U17,45BT,151
U17,48BT,158
U17,57AT,166
U17,85BT,107
U17,93AT,272
U17,95BT,180
U17,LOGRA,156
U17,MBA,318
U17,AnTat-11-17,171
U17,Frala,207
U17,INRB-2009-56A-15BT,162
U17,KOLO,189
U17,Mongo,103
U17,NTUMA,307
U18,104AT,112
U18,104BT,128
U18,105BT,309
U18,108AT,284
U18,108BT,353
U18,113AT,104
U18,113BT,114
U18,141BT,115
U18,15BT-relapse,229
U18,167AT,103
U18,167BT,103
U18,174BT,142
U18,19BT,152
U18,223AT,174
U18,340AT,137
U18,346AT-relapse,209
U18,346BT,268
U18,348BT,280
U18,349BT,172
U18,378BT,104
U18,40AT,218
U18,40BT,190
U18,45BT,152
U18,48BT,170
U18,57AT,148
U18,93AT,240
U18,95BT,172
U18,LOGRA,138
U18,MBA,343
U18,AnTat-11-17,175
U18,Frala,189
U18,INRB-2009-56A-15BT,127
U18,KOLO,162
U18,Mongo,131
U18,NTUMA,309
U19,104AT,124
U19,104BT,125
U19,105BT,274
U19,108AT,325
U19,108BT,343
U19,113BT,119
U19,141BT,123
U19,15BT-relapse,258
U19,167BT,105
U19,174AT,101
U19,174BT,130
U19,19BT,141
U19,223AT,166
U19,340AT,143
U19,346AT-relapse,214
U19,346BT,263
U19,348BT,332
U19,349BT,159
U19,378BT,116
U19,40AT,217
U19,40BT,184
U19,45BT,165
U19,48BT,146
U19,57AT,164
U19,85BT,108
U19,93AT,229
U19,95BT,144
U19,LOGRA,140
U19,MBA,378
U19,AnTat-11-17,170
U19,Frala,192
U19,INRB-2009-56A-15BT,129
U19,KOLO,170
U19,Mongo,106
U19,NTUMA,278
U20,104AT,106
U20,104BT,111
U20,105BT,229
U20,108AT,232
U20,108BT,259
U20,15BT-relapse,198
U20,167BT,105
U20,174BT,101
U20,19BT,127
U20,223AT,114
U20,340AT,106
U20,346AT-relapse,176
U20,346BT,235
U20,348BT,246
U20,349BT,130
U20,378BT,106
U20,40AT,189
U20,40BT,176
U20,45BT,108
U20,48BT,130
U20,57AT,132
U20,93AT,213
U20,95BT,149
U20,LOGRA,104
U20,MBA,294
U20,AnTat-11-17,147
U20,Frala,171
U20,INRB-2009-56A-15BT,107
U20,KOLO,145
U20,NTUMA,284
U21,104AT,113
U21,104BT,122
U21,105BT,310
U21,108AT,361
U21,108BT,400
U21,113AT,101
U21,113BT,115
U21,141BT,101
U21,148BT,116
U21,15BT-relapse,211
U21,163AT,107
U21,163AT-relapse,103
U21,167BT,115
U21,174AT,114
U21,174BT,117
U21,19BT,149
U21,223AT,167
U21,340AT,146
U21,346AT-relapse,211
U21,346BT,291
U21,348BT,298
U21,349BT,145
U21,378BT,104
U21,40AT,217
U21,40BT,222
U21,45BT,193
U21,48BT,151
U21,57AT,137
U21,85BT,122
U21,93AT,259
U21,95BT,163
U21,LOGRA,116
U21,MBA,315
U21,AnTat-11-17,169
U21,Frala,197
U21,INRB-2009-56A-15BT,114
U21,KOLO,184
U21,Mongo,106
U21,NTUMA,299
U22,104AT,116
U22,104BT,141
U22,105BT,320
U22,108AT,364
U22,108BT,376
U22,113BT,126
U22,141BT,113
U22,148BT,125
U22,15BT-relapse,231
U22,163AT,127
U22,163AT-relapse,118
U22,167AT,101
U22,167BT,129
U22,174AT,112
U22,174BT,124
U22,19BT,149
U22,223AT,179
U22,340AT,132
U22,346AT-relapse,215
U22,346BT,286
U22,348BT,349
U22,349BT,157
U22,378BT,124
U22,40AT,235
U22,40BT,235
U22,45BT,170
U22,48BT,156
U22,57AT,141
U22,85BT,112
U22,93AT,296
U22,95BT,184
U22,LOGRA,131
U22,MBA,344
U22,AnTat-11-17,168
U22,Frala,161
U22,INRB-2009-56A-15BT,126
U22,KOLO,183
U22,Mongo,128
U22,NTUMA,278
U23,104AT,107
U23,104BT,111
U23,105BT,312
U23,108AT,377
U23,108BT,421
U23,113AT,101
U23,113BT,134
U23,141BT,110
U23,148BT,116
U23,15BT-relapse,223
U23,163AT,111
U23,167AT,102
U23,167BT,128
U23,174AT,117
U23,174BT,123
U23,19BT,146
U23,223AT,174
U23,340AT,118
U23,346AT-relapse,209
U23,346BT,231
U23,348BT,343
U23,349BT,165
U23,378BT,113
U23,40AT,238
U23,40BT,215
U23,45BT,172
U23,48BT,179
U23,57AT,145
U23,85BT,110
U23,93AT,251
U23,95BT,177
U23,LOGRA,133
U23,MBA,343
U23,AnTat-11-17,179
U23,Frala,147
U23,INRB-2009-56A-15BT,120
U23,KOLO,186
U23,NTUMA,280
U24,104BT,108
U24,105BT,199
U24,108AT,249
U24,108BT,293
U24,15BT-relapse,193
U24,167BT,105
U24,223AT,122
U24,346AT-relapse,120
U24,346BT,182
U24,348BT,233
U24,349BT,123
U24,378BT,115
U24,40AT,173
U24,40BT,175
U24,45BT,103
U24,48BT,126
U24,57AT,126
U24,93AT,183
U24,95BT,110
U24,LOGRA,134
U24,MBA,271
U24,MBO-NG-74-R10,125
U24,OUSOU,127
U24,ROUPO-VAVOUA--80-MURAZ-14,110
U24,AnTat-11-17,153
U24,Frala,152
U24,GUIWI-BOBO80-MURAZ18,102
U24,INRB-2009-56A-15BT,119
U24,KOLO,157
U24,MKOK-BF-80-KK25,170
U24,MOERBEKE-103,106
U24,Mongo,101
U24,NTUMA,225
U25,104BT,105
U25,105BT,197
U25,108AT,249
U25,108BT,270
U25,148BT,103
U25,15BT-relapse,208
U25,19BT,105
U25,223AT,117
U25,346AT-relapse,130
U25,346BT,177
U25,348BT,241
U25,40AT,145
U25,40BT,135
U25,48BT,114
U25,57AT,120
U25,93AT,174
U25,95BT,118
U25,LOGRA,130
U25,MBA,306
U25,Nabe,103
U25,OUSOU,104
U25,ROUPO-VAVOUA--80-MURAZ-14,123
U25,AnTat-11-17,153
U25,Frala,146
U25,KOLO,156
U25,MOERBEKE-103,105
U25,NTUMA,229
U26,104BT,117
U26,105BT,237
U26,108AT,265
U26,108BT,278
U26,113BT,115
U26,141BT,121
U26,15BT-relapse,244
U26,174BT,108
U26,19BT,139
U26,223AT,155
U26,340AT,117
U26,346AT-relapse,193
U26,346BT,234
U26,348BT,283
U26,349BT,156
U26,378BT,104
U26,40AT,213
U26,40BT,170
U26,48BT,138
U26,57AT,156
U26,93AT,244
U26,95BT,134
U26,LOGRA,130
U26,MBA,327
U26,AnTat-11-17,173
U26,Frala,172
U26,INRB-2009-56A-15BT,107
U26,KOLO,161
U26,Mongo,106
U26,NTUMA,247
U27,104BT,115
U27,105BT,247
U27,108AT,208
U27,108BT,275
U27,141BT,113
U27,15BT-relapse,173
U27,174BT,113
U27,19BT,129
U27,223AT,161
U27,340AT,128
U27,346AT-relapse,190
U27,346BT,200
U27,348BT,226
U27,349BT,124
U27,40AT,200
U27,40BT,166
U27,48BT,102
U27,57AT,116
U27,93AT,198
U27,95BT,123
U27,MBA,269
U27,AnTat-11-17,153
U27,Frala,149
U27,INRB-2009-56A-15BT,113
U27,KOLO,146
U27,Mongo,105
U27,NTUMA,231
U28,104BT,120
U28,105BT,272
U28,108AT,215
U28,108BT,275
U28,113AT,103
U28,113BT,103
U28,141BT,103
U28,15BT-relapse,194
U28,167BT,120
U28,174BT,108
U28,19BT,135
U28,223AT,170
U28,340AT,122
U28,346AT-relapse,159
U28,346BT,241
U28,348BT,229
U28,349BT,125
U28,378BT,122
U28,40AT,182
U28,40BT,163
U28,45BT,133
U28,48BT,126
U28,93AT,213
U28,95BT,154
U28,LOGRA,103
U28,MBA,286
U28,AnTat-11-17,146
U28,Frala,168
U28,INRB-2009-56A-15BT,111
U28,KOLO,124
U28,Mongo,111
U28,NTUMA,247
U29,104BT,103
U29,105BT,216
U29,108AT,224
U29,108BT,275
U29,113BT,121
U29,15BT-relapse,202
U29,174BT,102
U29,19BT,106
U29,223AT,141
U29,340AT,116
U29,346AT-relapse,145
U29,346BT,193
U29,348BT,216
U29,349BT,145
U29,40AT,184
U29,40BT,158
U29,45BT,126
U29,48BT,103
U29,57AT,120
U29,93AT,170
U29,95BT,123
U29,LOGRA,117
U29,MBA,231
U29,AnTat-11-17,145
U29,Frala,152
U29,INRB-2009-56A-15BT,118
U29,KOLO,125
U29,NTUMA,235
U30,104BT,109
U30,105BT,290
U30,108AT,267
U30,108BT,305
U30,113BT,121
U30,141BT,111
U30,15BT-relapse,208
U30,167BT,101
U30,174BT,124
U30,19BT,136
U30,223AT,154
U30,340AT,120
U30,346AT-relapse,208
U30,346BT,213
U30,348BT,267
U30,349BT,151
U30,378BT,106
U30,40AT,218
U30,40BT,180
U30,45BT,142
U30,48BT,136
U30,57AT,141
U30,93AT,224
U30,95BT,176
U30,LOGRA,124
U30,MBA,277
U30,AnTat-11-17,147
U30,Frala,166
U30,INRB-2009-56A-15BT,130
U30,KOLO,183
U30,MOERBEKE-82,101
U30,Mongo,112
U30,NTUMA,316
U31,104BT,101
U31,105BT,206
U31,108AT,246
U31,108BT,263
U31,141BT,102
U31,15BT-relapse,194
U31,19BT,125
U31,223AT,120
U31,340AT,109
U31,346AT-relapse,170
U31,346BT,205
U31,348BT,212
U31,349BT,130
U31,40AT,193
U31,40BT,158
U31,45BT,109
U31,48BT,141
U31,57AT,113
U31,93AT,188
U31,95BT,132
U31,LOGRA,116
U31,MBA,258
U31,AnTat-11-17,135
U31,Frala,165
U31,INRB-2009-56A-15BT,111
U31,KOLO,180
U31,NTUMA,225
U32,104BT,111
U32,105BT,273
U32,108AT,352
U32,108BT,357
U32,113BT,117
U32,15BT-relapse,207
U32,163AT,105
U32,174BT,111
U32,19BT,118
U32,223AT,111
U32,340AT,117
U32,346AT-relapse,193
U32,346BT,242
U32,348BT,321
U32,349BT,118
U32,378BT,103
U32,40AT,179
U32,40BT,174
U32,45BT,153
U32,48BT,122
U32,57AT,139
U32,93AT,248
U32,95BT,147
U32,LOGRA,119
U32,MBA,330
U32,AnTat-11-17,167
U32,Frala,147
U32,INRB-2009-56A-15BT,110
U32,KOLO,179
U32,NTUMA,262
U33,104BT,107
U33,105BT,273
U33,108AT,247
U33,108BT,309
U33,15BT-relapse,157
U33,19BT,118
U33,223AT,116
U33,340AT,101
U33,346AT-relapse,195
U33,346BT,206
U33,348BT,248
U33,349BT,123
U33,40AT,211
U33,40BT,165
U33,45BT,129
U33,48BT,123
U33,57AT,103
U33,85BT,107
U33,93AT,208
U33,95BT,125
U33,LOGRA,102
U33,MBA,271
U33,AnTat-11-17,129
U33,Frala,140
U33,KOLO,166
U33,NTUMA,253
U34,104BT,103
U34,105BT,282
U34,108AT,294
U34,108BT,292
U34,113BT,106
U34,15BT-relapse,164
U34,174BT,109
U34,19BT,116
U34,223AT,142
U34,340AT,145
U34,346AT-relapse,180
U34,346BT,229
U34,348BT,237
U34,349BT,123
U34,40AT,206
U34,40BT,179
U34,45BT,123
U34,48BT,125
U34,57AT,116
U34,85BT,107
U34,93AT,241
U34,95BT,127
U34,LOGRA,103
U34,MBA,235
U34,AnTat-11-17,143
U34,Frala,135
U34,INRB-2009-56A-15BT,110
U34,KOLO,144
U34,NTUMA,232
U35,104BT,108
U35,105BT,241
U35,108AT,294
U35,108BT,308
U35,113BT,106
U35,15BT-relapse,182
U35,167AT,103
U35,174BT,107
U35,19BT,103
U35,223AT,129
U35,340AT,107
U35,346AT-relapse,175
U35,346BT,196
U35,348BT,247
U35,349BT,131
U35,40AT,186
U35,40BT,172
U35,45BT,135
U35,57AT,114
U35,93AT,220
U35,95BT,101
U35,LOGRA,102
U35,MBA,281
U35,AnTat-11-17,140
U35,Frala,135
U35,KOLO,145
U35,NTUMA,194
U36,104BT,108
U36,105BT,294
U36,108AT,327
U36,108BT,371
U36,113BT,117
U36,148BT,108
U36,15BT-relapse,183
U36,163AT-relapse,118
U36,167BT,102
U36,19BT,130
U36,223AT,162
U36,340AT,106
U36,346AT-relapse,208
U36,346BT,251
U36,348BT,268
U36,349BT,133
U36,40AT,180
U36,40BT,183
U36,45BT,142
U36,48BT,112
U36,57AT,122
U36,85BT,102
U36,93AT,244
U36,95BT,155
U36,LOGRA,111
U36,MBA,304
U36,AnTat-11-17,129
U36,Frala,143
U36,INRB-2009-56A-15BT,112
U36,KOLO,137
U36,NTUMA,272
U37,104BT,107
U37,105BT,249
U37,108AT,278
U37,108BT,272
U37,15BT-relapse,148
U37,19BT,101
U37,223AT,146
U37,340AT,117
U37,346AT-relapse,152
U37,346BT,188
U37,348BT,195
U37,349BT,121
U37,40AT,182
U37,40BT,183
U37,45BT,113
U37,57AT,107
U37,93AT,171
U37,95BT,138
U37,LOGRA,104
U37,MBA,288
U37,AnTat-11-17,129
U37,Frala,143
U37,KOLO,138
U37,NTUMA,234
U38,104BT,108
U38,105BT,239
U38,108AT,268
U38,108BT,310
U38,15BT-relapse,179
U38,19BT,117
U38,223AT,125
U38,340AT,112
U38,346AT-relapse,149
U38,346BT,224
U38,348BT,249
U38,349BT,138
U38,378BT,108
U38,40AT,191
U38,40BT,161
U38,45BT,143
U38,48BT,104
U38,57AT,102
U38,93AT,217
U38,95BT,127
U38,LOGRA,119
U38,MBA,279
U38,AnTat-11-17,117
U38,Frala,174
U38,INRB-2009-56A-15BT,113
U38,KOLO,168
U38,NTUMA,253
U39,104BT,108
U39,105BT,231
U39,108AT,229
U39,108BT,269
U39,15BT-relapse,211
U39,167BT,104
U39,174BT,103
U39,19BT,114
U39,223AT,121
U39,346AT-relapse,140
U39,346BT,186
U39,348BT,251
U39,349BT,123
U39,40AT,152
U39,40BT,152
U39,45BT,111
U39,48BT,111
U39,57AT,112
U39,93AT,232
U39,95BT,128
U39,LOGRA,135
U39,MBA,305
U39,MBO-NG-74-R10,136
U39,Nabe,106
U39,AnTat-11-17,154
U39,Frala,143
U39,KOLO,168
U39,NTUMA,222
U40,104BT,118
U40,105BT,250
U40,108AT,241
U40,108BT,310
U40,15BT-relapse,163
U40,174BT,113
U40,19BT,126
U40,223AT,142
U40,340AT,115
U40,346AT-relapse,162
U40,346BT,227
U40,348BT,245
U40,349BT,120
U40,378BT,121
U40,40AT,203
U40,40BT,168
U40,45BT,131
U40,48BT,113
U40,57AT,129
U40,93AT,210
U40,95BT,132
U40,LOGRA,127
U40,MBA,333
U40,AnTat-11-17,155
U40,Frala,164
U40,INRB-2009-56A-15BT,101
U40,KOLO,154
U40,NTUMA,247
U41,104BT,122
U41,105BT,212
U41,108AT,233
U41,108BT,226
U41,113BT,101
U41,15BT-relapse,172
U41,174BT,110
U41,19BT,121
U41,223AT,122
U41,340AT,107
U41,346AT-relapse,177
U41,346BT,197
U41,348BT,216
U41,349BT,143
U41,40AT,173
U41,40BT,102
U41,45BT,118
U41,57AT,112
U41,93AT,210
U41,95BT,131
U41,LOGRA,146
U41,MBA,285
U41,Nabe,108
U41,AnTat-11-17,156
U41,Frala,222
U41,INRB-2009-56A-15BT,116
U41,KOLO,155
U41,Mongo,131
U41,NTUMA,256
U42,104BT,114
U42,105BT,242
U42,108AT,214
U42,108BT,228
U42,15BT-relapse,169
U42,19BT,124
U42,223AT,102
U42,340AT,126
U42,346AT-relapse,130
U42,346BT,208
U42,348BT,195
U42,349BT,127
U42,40AT,154
U42,57AT,104
U42,93AT,192
U42,95BT,109
U42,LOGRA,136
U42,MBA,274
U42,AnTat-11-17,143
U42,Frala,206
U42,KOLO,129
U42,NTUMA,239
U43,104BT,101
U43,105BT,246
U43,108AT,223
U43,108BT,281
U43,141BT,116
U43,15BT-relapse,188
U43,174BT,138
U43,19BT,112
U43,223AT,109
U43,340AT,135
U43,346AT-relapse,155
U43,346BT,235
U43,348BT,240
U43,349BT,125
U43,40AT,206
U43,40BT,127
U43,45BT,102
U43,48BT,131
U43,57AT,122
U43,93AT,202
U43,95BT,125
U43,LOGRA,145
U43,MBA,318
U43,AnTat-11-17,164
U43,Frala,209
U43,INRB-2009-56A-15BT,125
U43,KOLO,161
U43,Mongo,137
U43,NTUMA,268
U44,104BT,126
U44,105BT,217
U44,108AT,196
U44,108BT,216
U44,15BT-relapse,139
U44,19BT,101
U44,223AT,114
U44,346AT-relapse,131
U44,346BT,187
U44,348BT,186
U44,349BT,113
U44,40AT,162
U44,40BT,102
U44,48BT,112
U44,93AT,185
U44,95BT,125
U44,LOGRA,131
U44,MBA,271
U44,AnTat-11-17,142
U44,Frala,160
U44,KOLO,161
U44,NTUMA,242
U45,104BT,122
U45,105BT,291
U45,108AT,266
U45,108BT,300
U45,113BT,102
U45,15BT-relapse,209
U45,174BT,101
