Strain,Type,Total,QC_passed,QC_failed,Secondary,Supplementary,Duplicates,Mapped,Mapped_percent,Paired,Read1,Read2,Properly_paired,Properly_paired_percent,Self_and_mate_mapped,Singletons,Singletons_percent,Mate_mapped_diff_chr,Mate_mapped_diff_chr_mapQ_ge_5
19BT,Normal,25064647 25064647 0 0 220801 0 496251 0 24843846 12421923 12421923 21770816 0 22961458 172916 0 496251 496251
19BT,TBR,68039 68039 0 0 53 0 229 0 67986 33982 34004 66812 0 67882 52 0 229 229
223AT,Normal,19837365 19837365 0 0 185907 0 374002 0 19651458 9825729 9825729 17231926 0 18167846 143287 0 374002 374002
223AT,TBR,70975 70975 0 0 90 0 152 0 70885 35423 35462 69804 0 70815 35 0 152 152
280104,Normal,22240222 22240222 0 0 210706 0 467061 0 22029516 11014758 11014758 19007086 0 20140558 195885 0 467061 467061
280104,TBR,98260 98260 0 0 70 0 507 0 98190 49082 49108 95522 0 97956 117 0 507 507
29BT,Normal,17472448 17472448 0 0 156676 0 331063 0 17315772 8657886 8657886 14787644 0 15609290 136514 0 331063 331063
29BT,TBR,38098 38098 0 0 38 0 102 0 38060 19026 19034 37578 0 38022 19 0 102 102
340AT,Normal,20756502 20756502 0 0 180860 0 414630 0 20575642 10287821 10287821 17621472 0 18602074 141028 0 414630 414630
340AT,TBR,66722 66722 0 0 69 0 279 0 66653 33321 33332 65076 0 66515 69 0 279 279
346AT-relapse,Normal,26552320 26552320 0 0 225082 0 410232 0 26327238 13163619 13163619 23453324 0 24499722 171570 0 410232 410232
346AT-relapse,TBR,137685 137685 0 0 83 0 224 0 137602 68830 68772 136646 0 137554 24 0 224 224
346BT,Normal,34893584 34893584 0 0 304460 0 571165 0 34589124 17294562 17294562 30914024 0 32333764 216227 0 571165 571165
346BT,TBR,162835 162835 0 0 117 0 366 0 162718 81367 81351 161124 0 162606 56 0 366 366
348BT,Normal,48358380 48358380 0 0 395796 0 874148 0 47962584 23981292 23981292 42440020 0 44564862 359104 0 874148 874148
348BT,TBR,142610 142610 0 0 128 0 179 0 142482 71189 71293 141272 0 142310 86 0 179 179
349BT,Normal,29093641 29093641 0 0 262089 0 607602 0 28831552 14415776 14415776 25295448 0 26726874 186047 0 607602 607602
349BT,TBR,72255 72255 0 0 70 0 257 0 72185 36078 36107 70700 0 72057 64 0 257 257
378BT,Normal,19223561 19223561 0 0 162189 0 362064 0 19061372 9530686 9530686 16719620 0 17606634 156077 0 362064 362064
378BT,TBR,56093 56093 0 0 69 0 99 0 56024 28021 28003 55490 0 55990 17 0 99 99
40AT,Normal,36350386 36350386 0 0 305262 0 603857 0 36045124 18022562 18022562 31902662 0 33399686 238009 0 603857 603857
40AT,TBR,141254 141254 0 0 132 0 468 0 141122 70546 70576 139412 0 141022 50 0 468 468
40BT,Normal,39666111 39666111 0 0 330949 0 523392 0 39335162 19667581 19667581 34813688 0 36182268 212569 0 523392 523392
40BT,TBR,117926 117926 0 0 92 0 263 0 117834 58920 58914 116688 0 117774 30 0 263 263
45BT,Normal,16838440 16838440 0 0 142812 0 321396 0 16695628 8347814 8347814 14367994 0 15140336 118965 0 321396 321396
45BT,TBR,68696 68696 0 0 60 0 167 0 68636 34314 34322 67552 0 68544 46 0 167 167
48BT,Normal,24266045 24266045 0 0 241147 0 486526 0 24024898 12012449 12012449 20359940 0 21551276 188348 0 486526 486526
48BT,TBR,68640 68640 0 0 57 0 171 0 68583 34297 34286 67594 0 68503 40 0 171 171
57AT,Normal,48491491 48491491 0 0 416179 0 859052 0 48075312 24037656 24037656 42492094 0 44639816 370292 0 859052 859052
57AT,TBR,81852 81852 0 0 54 0 155 0 81798 40910 40888 81154 0 81744 27 0 155 155
85BT,Normal,20818959 20818959 0 0 178005 0 392032 0 20640954 10320477 10320477 18215118 0 19164392 165941 0 392032 392032
85BT,TBR,54068 54068 0 0 45 0 85 0 54023 27011 27012 53460 0 53969 27 0 85 85
93AT,Normal,26170657 26170657 0 0 184835 0 459373 0 25985822 12992911 12992911 22273814 0 23364686 174621 0 459373 459373
93AT,TBR,118947 118947 0 0 97 0 382 0 118850 59418 59432 117030 0 118694 78 0 382 382
940,Normal,28850214 28850214 0 0 182574 0 453885 0 28667640 14333820 14333820 24520302 0 25570004 181888 0 453885 453885
940,TBR,34452 34452 0 0 146 0 821 0 34306 17170 17136 32068 0 34168 69 0 821 821
95BT,Normal,20715086 20715086 0 0 194964 0 393639 0 20520122 10260061 10260061 18064868 0 19037940 156057 0 393639 393639
95BT,TBR,81608 81608 0 0 72 0 215 0 81536 40781 40755 80522 0 81452 42 0 215 215
A005,Normal,24137457 24137457 0 0 136307 0 303683 0 24001150 12000575 12000575 22113224 0 22859782 110918 0 303683 303683
A005,TBR,18450 18450 0 0 70 0 103 0 18380 9181 9199 18004 0 18368 6 0 103 103
ABBA,Normal,47907911 47907911 0 0 521773 0 977629 0 47386138 23693069 23693069 39984544 0 42387528 432006 0 977629 977629
ABBA,TBR,376051 376051 0 0 2003 0 4221 0 374048 187014 187034 357496 0 373286 381 0 4221 4221
AGAL-CI-78-TCH312,Normal,48708187 48708187 0 0 559115 0 1138788 0 48149072 24074536 24074536 39316670 0 42053324 695757 0 1138788 1138788
AGAL-CI-78-TCH312,TBR,186133 186133 0 0 456 0 2823 0 185677 92831 92846 178200 0 185249 214 0 2823 2823
AGAL-CI-78-TCH312-bis,Normal,36751115 36751115 0 0 434957 0 762657 0 36316158 18158079 18158079 30453064 0 32327182 332207 0 762657 762657
AGAL-CI-78-TCH312-bis,TBR,237061 237061 0 0 739 0 3840 0 236322 118091 118231 224488 0 235758 282 0 3840 3840
Alfort,Normal,25515610 25515610 0 0 282358 0 536390 0 25233252 12616626 12616626 20777926 0 22141268 243142 0 536390 536390
Alfort,TBR,123540 123540 0 0 374 0 3963 0 123166 61588 61578 113036 0 122820 173 0 3963 3963
ALJO,Normal,27884849 27884849 0 0 221405 0 549029 0 27663444 13831722 13831722 24169996 0 25467084 183547 0 549029 549029
ALJO,TBR,77878 77878 0 0 290 0 566 0 77588 38805 38783 75056 0 77430 79 0 566 566
AMBOU,Normal,42509545 42509545 0 0 324397 0 684250 0 42185148 21092574 21092574 37365024 0 39079398 236844 0 684250 684250
AMBOU,TBR,100460 100460 0 0 195 0 782 0 100265 50151 50114 96728 0 100147 59 0 782 782
